symbol,price_mean,volume_mean,market_mean,range_mean,vol_ratio_mean
ECOM,0.06869233620689655,190860.02586206896,3276854.2586206896,0.011602775862068964,0.06368993435985702
ECOREAL,0.06663546153846155,19187.53846153846,6847366.307692308,0.015665846153846155,0.001666211905085486
ECT,0.0001195,986.9411764705883,0.0,3.247058823529412e-05,0.0
EDG,0.5949767950819672,2052815.6655737704,49610606.96557377,0.09615961639344263,0.027315555085920637
EDN,0.019247108108108108,944994.9189189189,5397280.175675675,0.0024071621621621618,0.04791888557351729
EDO,1.8242483520782395,3696154.95599022,44789696.41809291,0.2641793349633252,0.06776636419654651
EDR,9.700620142857144,578298.4055690073,13655977.433414044,10.271175204600484,0.05113975487998877
EDRC,0.24548391200828157,88993.43167701863,35093.525879917186,0.07612494513457557,0.00045803320872234317
EDS,0.00011954700854700855,236110.79487179487,0.0,1.25982905982906e-05,0.0
EDT,0.011045024752475246,30625.831683168315,0.0,0.0032332623762376237,0.0
EDU,0.0012184170854271357,3929894.8693467337,0.0,0.00015070854271356785,0.0
EFL,0.04988132690058479,20039.99590643275,771477.7643274853,0.009020605847953216,0.010829359639964934
EFX,0.024329131818181818,65768.6909090909,4869655.959090909,0.0041801500000000005,0.013760463315266687
EFYT,6.167330754352031,44231.5918762089,1546458.582205029,1.466105665377176,0.028049069893073767
EGC,0.11209908151658768,58715.495734597156,1492744.4815165878,0.019871544075829386,0.032682387979806785
EGCC,0.0012610457142857143,326769.36,0.0,0.00017521142857142855,0.0
EGEM,0.03086858407079646,4970.008849557522,326529.6902654867,0.007139061946902656,0.012161671252025042
EGT,0.003476205298013245,1275827.3311258277,6063565.033112583,0.0003600066225165563,0.1664478589673445
EGX,0.03356248214285714,2324.0714285714284,153067.55357142858,0.032286928571428564,0.0049128108897599
EJOY,0.0014437759562841528,461736.0273224044,0.0,0.0006739672131147541,0.0
EKO,0.038767646875,1241554.8375,6630624.9625,0.013015121875000002,0.09161517684462508
EKT,0.07573253225806452,8137923.651612903,18049831.687096775,0.011246812903225807,0.14131058434334454
EL,0.038670428115015976,4636.942492012779,410788.67412140575,0.010103516506922258,0.00609539844912076
ELA,27.033543046357615,15361799.28807947,91193024.58278146,3.3239072847682123,0.049470674902906374
ELE,0.017763402843601894,2671.6943127962086,449314.6682464455,0.0061470213270142186,0.005604811793662263
ELEC,0.042906597744360904,490111.43233082705,14987008.87593985,0.006794353383458647,0.030511808702449475
ELF,0.8013302802359882,35229316.297935106,195935804.77286136,0.11950337463126845,0.14074617546645388
ELI,0.01400810924369748,74408.21848739496,0.0,0.0030092773109243695,0.0
ELITE,0.25938225322997416,7043.341085271318,0.0,0.0606715684754522,0.0
ELIX,0.2498087113163972,142878.68591224018,7540852.515011547,0.061187711316397234,0.032205180480732745
ELLA,0.38123637626262624,23084.588383838385,1794521.388888889,0.09699464393939393,0.008833427051403648
ELLI,0.0064090129870129865,940.2077922077922,0.0,0.0026215194805194806,0.0
ELS,0.0034816084243369733,2527.940717628705,21488.751950078004,0.0017487441497659908,0.1546187202295953
ELTCOIN,0.015052406649616368,21724.056265984655,1338678.662404092,0.005491099744245524,0.01887326825888643
ELY,0.006493768656716418,923077.1641791045,474755.2686567164,0.001481776119402985,0.9433967276407853
EMB,3.690926108374384e-05,70636.08620689655,1118493.1674876846,2.0052593596059114e-05,0.012041940010670537
